"","Team","Season","impliedFGM","impliedFGA","impliedFG%","implied3FGM","implied3FGA","implied3FG%","impliedFTM","impliedFTA","impliedFT%","impliedREB","impliedAST","impliedSTL","impliedBLK","impliedTO","impliedPF","impliedPTS"
"146","CHA",1995,2391,5034,0.474970202622169,490,1235,0.396761133603239,1221,1569,0.778202676864245,2332,1145,403,181,832,1205,6493
"147","CHA",1996,2706,5688,0.475738396624473,505,1186,0.425801011804385,1360,1759,0.773166571915861,2898,1819,534,327,1011,1444,7277
"148","CHA",1997,2763,5894,0.468781812012216,305,780,0.391025641025641,1550,2076,0.746628131021195,3172,1733,644,308,1115,1597,7381
"149","CHA",1998,1156,2639,0.438044713906783,233,647,0.360123647604328,643,844,0.761848341232227,1253,837,276,130,548,725,3188
"150","CHA",1999,2796,6190,0.451696284329564,323,954,0.338574423480084,1817,2380,0.76344537815126,3292,1979,704,464,1103,1538,7732
"151","CHA",2000,2739,6366,0.430254476908577,340,983,0.34587995930824,1579,2122,0.744109330819981,3495,1870,652,448,1087,1640,7397
"152","CHA",2001,2635,6033,0.436764462124979,346,994,0.348088531187123,1399,1908,0.733228511530398,2753,1648,591,376,1015,1512,7015
"153","CHA",2004,1949,4644,0.419681309216193,221,635,0.348031496062992,1039,1435,0.72404181184669,2211,1470,565,260,800,1240,5158
"154","CHA",2005,2704,6207,0.435637183824714,395,1163,0.339638865004299,1419,1940,0.731443298969072,2860,1639,759,300,1014,1786,7222
"155","CHA",2006,2357,5429,0.434149935531405,457,1276,0.358150470219436,1228,1602,0.766541822721598,2100,1673,530,158,934,1414,6399
"156","CHA",2007,2099,4856,0.432248764415157,520,1417,0.36697247706422,1120,1467,0.76346284935242,1744,1571,492,160,809,1119,5838
"157","CHA",2008,1201,2781,0.431859043509529,218,622,0.35048231511254,852,1041,0.818443804034582,1140,1027,313,114,548,649,3472
"158","CHA",2009,1609,3488,0.461295871559633,270,756,0.357142857142857,894,1179,0.758269720101781,1839,1180,396,196,667,884,4382
"159","CHA",2010,2009,4567,0.439894898182614,348,1053,0.33048433048433,1022,1252,0.81629392971246,1839,1464,375,249,812,1034,5388
"160","CHA",2011,1933,4690,0.412153518123667,240,806,0.297766749379653,1003,1286,0.779937791601866,1923,1118,351,214,724,997,5109
"161","CHA",2012,2448,5808,0.421487603305785,433,1291,0.335398915569326,1363,1768,0.770927601809955,2425,1421,514,313,897,1236,6692
"162","CHA",2013,2549,5775,0.441385281385281,461,1293,0.356535189481825,1179,1594,0.739648682559598,2852,1466,430,308,767,1207,6738
"163","CHA",2014,2176,5202,0.418300653594771,382,1219,0.313371616078753,927,1205,0.769294605809129,2409,1294,398,259,640,1002,5661
"164","CHA",2015,2543,5806,0.437995177402687,779,2132,0.365384615384615,1371,1725,0.794782608695652,3058,1581,502,377,877,1186,7236
"165","CHA",2016,2868,6549,0.437929454878607,806,2281,0.353353792196405,1487,1825,0.814794520547945,3203,1784,533,317,811,1157,8029
"166","CHA",2017,3151,7016,0.449116305587229,820,2226,0.36837376460018,1609,2153,0.747329307942406,3601,1758,548,364,1002,1373,8731
"167","CHA",2018,3202,7180,0.445961002785515,977,2777,0.351818509182571,1447,1795,0.806128133704735,3340,1868,578,364,918,1443,8828
"168","CHA",2019,2162,5045,0.428543111992071,736,2097,0.350977587029089,911,1196,0.761705685618729,2329,1448,392,194,823,1018,5971
"169","CHI",1946,1874,6276,0.298597833014659,0,0,0,938,1547,0.606334841628959,0,436,0,0,0,1456,4686
"170","CHI",1947,1367,4576,0.298732517482518,0,0,0,842,1265,0.665612648221344,0,428,0,0,0,1100,3576
"171","CHI",1948,1839,5499,0.33442444080742,0,0,0,1167,1685,0.692581602373887,0,1161,0,0,0,1611,4845
"172","CHI",1949,1935,5640,0.343085106382979,0,0,0,1283,1841,0.696903856599674,0,1341,0,0,0,1858,5153
"173","CHI",1961,2701,6318,0.427508705286483,0,0,0,1563,2338,0.668520102651839,3567,1350,0,0,0,1486,6965
"174","CHI",1962,2916,6267,0.465294399234083,0,0,0,1923,2745,0.700546448087432,3844,1589,0,0,0,1754,7755
"175","CHI",1966,3448,8223,0.419311686732336,0,0,0,1978,2693,0.734496843668771,4345,1800,0,0,0,2101,8874
"176","CHI",1967,2818,6578,0.428397689267254,0,0,0,1592,2178,0.730945821854913,3802,1180,0,0,0,1732,7228
"177","CHI",1968,2911,6894,0.422251232956194,0,0,0,1583,2170,0.729493087557604,4037,1229,0,0,0,1712,7405
"178","CHI",1969,3420,7678,0.445428497004428,0,0,0,2135,2768,0.771315028901734,4069,2068,0,0,0,1721,8975
"179","CHI",1981,3105,6161,0.503976627170914,54,213,0.253521126760563,1865,2414,0.772576636288318,3416,1956,539,473,1511,1893,8129
"180","CHI",1982,3410,7096,0.480552423900789,45,209,0.215311004784689,1919,2586,0.742072699149265,3539,2038,641,371,1634,2067,8784
"181","CHI",1983,2838,5958,0.476334340382679,17,102,0.166666666666667,1615,2114,0.7639545884579,2742,1864,609,326,1287,1684,7308
"182","CHI",1984,3450,6903,0.499782703172534,29,161,0.180124223602484,1977,2520,0.78452380952381,3432,1991,622,463,1444,2064,8906
"183","CHI",1985,3381,7017,0.48182984181274,87,306,0.284313725490196,1890,2452,0.770799347471452,3516,1940,579,397,1384,2105,8739
"184","CHI",1986,2942,6208,0.473904639175258,78,271,0.287822878228782,1573,1991,0.790055248618785,3083,1766,575,378,1044,1533,7535
"185","CHI",1987,3003,6059,0.49562634098036,49,203,0.241379310344828,1510,2001,0.754622688655672,3328,1618,601,445,1018,1565,7565
"186","CHI",1988,2819,5628,0.50088841506752,103,359,0.286908077994429,1328,1681,0.790005948839976,2718,1950,640,323,1017,1413,7069
"187","CHI",1989,2769,5571,0.497038233710285,250,669,0.373692077727952,1250,1593,0.784682988072819,2203,1786,680,265,944,1391,7038
"188","CHI",1990,3314,6476,0.511735639283508,155,424,0.365566037735849,1481,1933,0.766166580444904,3004,2086,790,423,1035,1584,8264
"189","CHI",1991,3347,6519,0.513422304034361,130,425,0.305882352941176,1477,1943,0.760164693772517,3204,2112,623,463,936,1420,8301
"190","CHI",1992,3286,6746,0.487103468722206,243,664,0.365963855421687,1344,1828,0.735229759299781,3280,2002,733,396,980,1583,8159
"191","CHI",1993,2918,6103,0.478125512043257,233,657,0.354642313546423,1155,1629,0.70902394106814,2918,1887,685,280,1044,1425,7224
"192","CHI",1994,3044,6368,0.478015075376884,443,1187,0.373209772535805,1401,1932,0.725155279503106,3136,1891,776,335,1146,1802,7932
"193","CHI",1995,2996,6239,0.480205161083507,544,1349,0.403261675315048,1386,1853,0.747976254722072,3255,1888,714,238,982,1483,7922
"194","CHI",1996,3181,6717,0.473574512431145,523,1403,0.372772630078403,1349,1802,0.748612652608213,3574,2108,707,308,1036,1557,8234
"195","CHI",1997,2546,5673,0.448792526000353,311,960,0.323958333333333,1255,1671,0.751047277079593,2978,1689,637,261,856,1217,6658
"196","CHI",1998,1505,3732,0.403269024651661,177,612,0.28921568627451,821,1158,0.708981001727116,1869,1004,430,157,712,1065,4008
"197","CHI",1999,2037,4831,0.421651831918857,288,848,0.339622641509434,1131,1576,0.717639593908629,2463,1303,513,278,1077,1394,5493
"198","CHI",2000,2631,6197,0.424560271098919,329,950,0.346315789473684,1338,1785,0.749579831932773,2768,1735,633,316,1101,1638,6929
"199","CHI",2001,1217,2886,0.421690921690922,166,491,0.338085539714868,485,677,0.716395864106352,1553,738,282,131,502,816,3085
"200","CHI",2002,2326,5497,0.423139894487903,349,997,0.350050150451354,1076,1397,0.770221904080172,2434,1615,514,271,1010,1450,6077
"201","CHI",2003,2063,5011,0.411694272600279,346,1043,0.331735378715244,973,1347,0.722345953971789,2193,1339,458,270,917,1314,5445
